2 4
2 5
3 2
9 3
10 4
14 1
19 2
19 5
21 4
24 2
33 2
33 5
33 5
33 5
35 4
39 1
41 2
44 5
46 2
47 1
51 5
53 1
54 2
55 1
55 4
65 1
67 2
69 5
85 3
88 4
98 3
99 4
101 3
106 3
108 2
112 1
113 5
116 2
116 3
117 5
119 1
128 5
129 2
135 2
139 5
144 1
145 4
146 2
147 3
148 4
155 3
162 2
169 2
171 5
174 1
174 2
174 5
175 5
180 4
187 5
193 4
193 5
196 1
201 1
204 4
206 2
208 1
212 5
213 3
214 5
221 4
223 2
231 5
231 5
232 1
235 5
237 1
238 4
239 3
243 4
243 5
248 2
249 2
261 2
262 5
263 3
265 2
265 5
269 2
275 3
277 2
282 5
291 2
295 4
296 3
297 3
300 3
300 3
308 4
314 2
316 2
320 5
326 5
328 2
329 4
330 3
338 5
346 2
350 1
355 1
356 1
357 1
363 1
366 1
382 4
384 2
386 1
388 3
388 4
391 1
393 1
393 3
405 4
407 1
409 4
411 2
412 3
413 4
415 4
416 1
416 5
418 5
418 5
421 5
431 5
436 2
436 3
441 4
446 5
447 5
450 3
464 4
468 1
468 2
468 4
471 2
472 3
473 1
479 3
480 4
