1 2
4 5
6 1
6 4
8 6
10 4
12 1
12 5
13 1
24 6
26 6
27 2
27 3
31 1
31 4
33 5
36 3
37 2
40 1
40 3
41 6
50 2
52 6
54 4
55 5
56 1
56 5
63 4
68 1
68 6
72 4
72 4
75 3
78 1
79 4
85 6
87 1
88 4
90 5
96 6
99 6
106 4
109 3
109 3
115 5
116 6
119 5
120 4
124 4
128 3
128 3
132 3
134 4
135 4
139 4
141 3
144 5
147 6
148 3
149 6
151 2
153 4
158 1
165 5
166 6
167 4
168 6
169 3
171 1
172 6
174 1
177 3
177 5
179 1
180 6
181 5
184 2
186 1
186 2
188 2
188 4
189 2
189 3
191 2
192 3
193 6
202 3
203 5
204 4
205 1
208 6
209 4
212 3
220 6
224 1
231 2
232 6
234 3
235 2
235 4
236 2
238 6
240 3
241 3
242 4
242 6
246 5
247 6
252 2
255 1
258 5
260 2
260 2
260 6
261 2
263 3
266 3
272 4
274 2
277 1
277 2
279 6
280 5
282 2
293 3
293 4
296 3
299 3
300 2
302 5
302 5
302 5
304 1
308 4
311 4
313 3
313 4
314 3
316 3
319 5
320 2
321 1
323 5
324 6
330 6
334 1
335 3
337 3
338 2
339 3
339 6
340 1
345 4
345 5
348 1
349 4
350 1
352 3
352 6
356 6
358 3
359 4
361 6
362 3
363 2
365 1
365 5
370 3
372 5
374 6
379 4
380 4
380 6
381 6
383 6
389 2
390 2
393 4
393 6
402 6
409 1
410 3
419 1
424 4
426 6
433 5
440 3
441 5
445 1
445 4
447 2
447 4
447 5
459 1
465 6
466 1
469 5
472 5
473 3
474 1
474 5
477 2
481 5
492 2
492 3
494 4
494 5
501 1
506 2
514 6
515 1
517 5
519 3
519 4
526 1
527 5
528 5
532 1
534 1
539 6
540 2
545 6
547 6
552 1
554 3
555 2
556 2
557 2
558 5
562 2
565 3
566 6
570 4
571 1
573 1
575 1
576 3
577 3
577 3
578 3
581 3
581 5
582 3
582 3
587 5
588 5
589 5
592 4
593 1
598 2
599 3
599 5
600 2
600 5
601 2
602 3
609 2
609 5
612 1
612 1
613 6
616 6
617 1
621 6
622 4
623 6
625 1
625 2
628 4
630 4
634 3
635 1
635 5
637 1
638 6
639 5
639 5
640 6
649 1
649 2
650 3
658 6
661 6
668 4
671 6
672 6
684 1
686 1
686 4
691 3
693 5
696 3
696 6
698 6
704 2
709 3
714 4
717 4
718 6
720 6
